Time,Open,High,Low,Close,Volume
07/28/2021 00:00:00,39456.61,39472.49,39318.27,39358.44,6130048
07/28/2021 00:01:00,39358.43,39448,39334.81,39398.74,4891746
07/28/2021 00:02:00,39398.73,39476.53,39354.16,39469.84,3586159
07/28/2021 00:03:00,39475.55,39562.23,39356.94,39382.19,6675879.5
07/28/2021 00:04:00,39380.23,39400,39222.44,39268.68,3469602.5
07/28/2021 00:05:00,39268.69,39328.54,39258.17,39284.95,2450177.8
07/28/2021 00:06:00,39284.95,39329.47,39272.75,39306.37,1250629.6
07/28/2021 00:07:00,39306.37,39306.38,39217.73,39230.43,1956758.6
07/28/2021 00:08:00,39239.75,39250,39173.06,39181.64,3654828.2
07/28/2021 00:09:00,39181.64,39191.3,39124,39124.01,2745259.8
07/28/2021 00:10:00,39124,39231.65,39076.68,39222.82,3466509.5
07/28/2021 00:11:00,39222.82,39252.32,39140.64,39170,1706389.5
07/28/2021 00:12:00,39170,39229.64,39153.96,39209.07,817375.75
07/28/2021 00:13:00,39209.08,39214.44,39153.97,39174.23,591543
07/28/2021 00:14:00,39174.23,39208.98,39174.23,39183,824013.56
07/28/2021 00:15:00,39183,39236.71,39180.02,39215.32,1481258.4
07/28/2021 00:16:00,39211.84,39259.48,39208,39218.43,2517273.8
07/28/2021 00:17:00,39213.93,39236.88,39206.85,39220.9,1103303.5
07/28/2021 00:18:00,39220.89,39236.18,39220,39229.37,747412.7
07/28/2021 00:19:00,39229.37,39272.96,39225.33,39262.4,1484355.8
07/28/2021 00:20:00,39262.4,39296.32,39239.17,39296.32,1137887.4
07/28/2021 00:21:00,39296.32,39316.4,39265.93,39306.46,1202753.8
07/28/2021 00:22:00,39306.47,39333,39306.46,39314.15,937088.44
07/28/2021 00:23:00,39314.15,39314.15,39266.92,39285.02,3192651.5
07/28/2021 00:24:00,39285.02,39336.88,39281.12,39321.72,1691917.2
07/28/2021 00:25:00,39321.71,39374.74,39321.71,39367.62,1330452.1
07/28/2021 00:26:00,39370.62,39370.64,39250.83,39279.65,2291931.2
07/28/2021 00:27:00,39279.65,39279.66,39203.33,39233.4,1265849.1
07/28/2021 00:28:00,39233.4,39233.4,39102.84,39145.89,4678184.5
07/28/2021 00:29:00,39145.89,39175.99,39042.93,39049.98,4209207.5
07/28/2021 00:30:00,39048.36,39071.24,38925.08,39040.04,8883104
07/28/2021 00:31:00,39040.04,39142.03,39040.04,39136.6,2058838.6
07/28/2021 00:32:00,39136.6,39186.22,39136.6,39180.05,1838740.1
07/28/2021 00:33:00,39180.05,39261.32,39149.99,39252.78,4957653.5
07/28/2021 00:34:00,39251.67,39251.67,39197.51,39224.09,1296046.4
07/28/2021 00:35:00,39224.09,39227.03,39203.08,39203.08,855034.06
07/28/2021 00:36:00,39203.09,39245,39200,39216.73,1133907.8
07/28/2021 00:37:00,39216.73,39216.74,39106.56,39106.57,1560312.5
07/28/2021 00:38:00,39106.57,39155.37,39103.85,39112.41,1364736.4
07/28/2021 00:39:00,39112.4,39120.26,39063.71,39107.91,1820408.2
07/28/2021 00:40:00,39107.92,39121.2,39059.64,39061.61,930870.06
07/28/2021 00:41:00,39061.61,39076.88,39017.44,39060.41,2174314
07/28/2021 00:42:00,39060.41,39116.41,39000.04,39024.79,1350645.2
07/28/2021 00:43:00,39024.79,39062.5,39020,39059.9,768738.06
07/28/2021 00:44:00,39059.89,39084.53,39033.8,39052.44,1209319.9
07/28/2021 00:45:00,39052.44,39052.44,38988.95,39050,2401302.2
07/28/2021 00:46:00,39050,39056.25,38979.38,38984.76,831510.6
07/28/2021 00:47:00,38984.76,39039.07,38981.54,39039.06,2183954.5
07/28/2021 00:48:00,39039.06,39095.44,39020.95,39072.84,1883340.5
07/28/2021 00:49:00,39071.67,39095.8,39032.8,39032.8,861680.7
07/28/2021 00:50:00,39032.8,39114.07,39001,39110.06,1557248.2
07/28/2021 00:51:00,39112.44,39133.63,39089.94,39131.03,1273611.1
07/28/2021 00:52:00,39129.99,39148.65,39093.06,39105.51,906498.6
07/28/2021 00:53:00,39105.51,39141.09,39081.52,39131,735266.56
07/28/2021 00:54:00,39131,39164.08,39123.53,39153.25,1748283
07/28/2021 00:55:00,39153.25,39174,39055.88,39073.21,1994827.9
07/28/2021 00:56:00,39073.21,39153.86,39073.21,39138.55,774412.2
07/28/2021 00:57:00,39138.54,39176.09,39138.54,39168.84,660870.3
07/28/2021 00:58:00,39168.85,39180.71,39140.29,39172.46,957893.06
07/28/2021 00:59:00,39172.45,39177.06,39059.55,39069.54,1231833.8
07/28/2021 01:00:00,39078.06,39118.08,39020.68,39026.03,1698318.6
07/28/2021 01:01:00,39026.03,39031.59,39001.38,39024.87,1149104.4
07/28/2021 01:02:00,39024.88,39064.21,39007.27,39010,813227.44
07/28/2021 01:03:00,39010,39020,38904.11,38980,9884177
07/28/2021 01:04:00,38979.99,38987.23,38952.41,38982.16,1510106.9
07/28/2021 01:05:00,38982.15,39053.51,38977.95,39042.02,1155287.4
07/28/2021 01:06:00,39042.02,39090.7,39030.45,39080.52,1569498.8
07/28/2021 01:07:00,39080.52,39127.66,39080.51,39127.66,1752285.1
07/28/2021 01:08:00,39127.66,39148.22,39088.82,39133.49,1196051.9
07/28/2021 01:09:00,39133.5,39150,39111.31,39131.54,1173447.1
07/28/2021 01:10:00,39131.55,39205.61,39120.08,39186.3,1381944.1
07/28/2021 01:11:00,39186.29,39300,39169.55,39253.82,3076045.2
07/28/2021 01:12:00,39253.73,39263.01,39200.12,39208.47,1673203.2
07/28/2021 01:13:00,39208.48,39231.75,39199.91,39199.91,1481504.1
